! ٭٭٭ گریباں گیر برسوں بعد میں نے اسے شہر کے ایک معمولی ہوٹل میں داخل ہوتے ہوئے دیکھا۔
! کو پوچھا تو کاؤنٹر والی لڑکی نے متعلقہ آفس سے کمپیوٹر مشین (جو ٹائپ رائٹر کی طرح ہوتی ہے۔
!! اک خواب وہی تو تھا جو ٹوٹ گیا آخر پل بھر میں گنوا بیٹھا اک عمر کا حاصل تھا۔
!مارچ ء کے دن مولانا خواجہ حسن نظامی کے ہمراہ نواب صاحب نے پہلی بار علامہ اقبال سے ملاقات فرمائی۔
اس حدیث میں " اضطباع " کا ذکر نہیں کیا گیا ہے لیکن طواف کے وقت اضطباع بھی مسنون ہے۔
اس حدیث کا معنی یہ ہے کہ ایک شخص دوسرے سے کہے کہ جب تمہاری طرف کوئی چیز پھینکوں گا۔
اس حدیث کا مقصد جہاں لوگوں کے احوال کے تجسس اور ان کے عیوب تلاش کرنے سے منع کرنا ہے۔
اس حدیث کا یہ مفہوم قطعا نہیں ہے کہ نناوے ناموں کے علاوہ اللہ سبحانہ کے مزید نام نہیں ہیں۔
اس حدیث کو اور اس دعا کو بار بار پڑھیے اور ذرا آج کے حالات پر اس کو منطبق کیجئے۔
اس حدیث کی سند متصل نہیں کیوں کہ مکحول کا حضرت ابو ہریرہ رضی اللہ عنہ سے سماع ثابت نہیں۔
اس حدیث کے راوی زید العمی ضعیف ہیں اور ان کے استاد یزید رقاشی ان سے بھی زیادہ ضعیف ہیں۔
اس حساب سے ان کی پیدائش پچھلی صدی کے آخری دس پندرہ سالوں میں کسی وقت ہو ئی ہو گی۔
اس حساب سے تو یہ اندازہ لگا نا دشوار ہے کہ انسان کتنے اور کیسے کیسے نظاموں کا مجموعہ ہے۔
اس حصے میں ڈوگرہ دور کی ریاست جموں کشمیر کا معاشرتی اور سیاسی نقشہ زندہ ہو کر سامنے آجاتا ہے۔
اس حقیقت کے باوجود اس حدیث میں یہ ظاہر کرنا کہ گویا زبان ہی سارے اعضاء جسم کی سردار ہے۔
اس حمد و ستائش کے بعد پیم چند نے اپنی ذات پر اللہ تعالی کی مہربانیوں کا ذکر کیا ہے۔
اس حکم میں دوسرا احتمال یہ ہو سکتا تھا کہ "وہ کسی دوسرے خاوند سے ازدواجی تعلقات قائم کر لے۔
اس حیثیت میں آپ کوئی کام بھی خدا کی مرضی کے خلاف یا اس کے بغیر نہ کر سکتے تھے۔
اس خاتون نے اپنے کپڑے اپنے اوپر لپیٹ لیے (کانٹوں سے ) تاکہ جب سنگسار کیا جائے تو نہ کھلے۔
اس خاک میں خیر الامم کے تاجدار نظم عالم کا رہا جن کی حکومت پر مدار دل کو تڑپاتی ہے۔
اس خاکسار کی تحریک سے بعض شعراء نے حمد و نعت میں بھی اسی کی تقلید میں فطرت نگاری فرمائی۔
اس خط سے یہ بھی ظاہر ہوتا ہے کہ وہ اپنے کلام کی اشاعت کے لیے بہت فکر مند تھے۔
اس خط کو دیکھتے ہی ملکہ کے دل میں خط کی اور اس کے لکھنے والے کی عزت سماجاتی ہے۔
اس خط کے آنے کے بعد سے لے کر اب تک آپ کی بے چینی میں کمی نہیں آئی ہے۔
اس خط کے روانہ ہو چکنے کے بعد جب میں جنت میں واپس آئی تو انتہا سے زیادہ حیران تھی۔
اس خطرناک رجحان کے برخلاف اہل اردو کا یہ موقف ہونا چاہیے کہ اردو اور ہندی دو مختلف زبانیں ہیں۔
اس خواب کے تھوڑا عرصہ بعد داداجی کی دی ہوئی نقدی کے نتیجہ میں ہماری بڑی بہن آپی پیدا ہوئی۔
اس خوف سے کہ کہیں ان بدبختوں کی نحوست اور ان کی برائی کے جراثیم اپنے تک نہ پہنچ جائیں۔
اس خوف کے سبب کہ شاید اس میں کوئی مضائقہ ہو اور یہی معنی اس مشہور حدیث کے بھی ہیں۔
اس خیال سے کہ شاید یہی وہ گم شدہ لڑکی نہ ہو ہم اسے آپ کے پاس لے آئے ہیں۔
اس خیال کے آتے ہی اپنی خطا معاف کرانے کے لیے نہایت عاجزی کے ساتھ خدا کے سامنے جھک پڑے۔
اس خیال کے آتے ہی راحیل کو یوں لگا جیسے ایک کوندا سا لپک کر اسے بھسم کر گیا ہو۔
اس خیالی رشتے سے جو افراد ان ٹھوس حقیقی رشتوں سے رکھتے ہیں جن کے اندر وہ زندگی کرتے ہیں۔
اس درخت کا ذکر خصوصیت سے فرمایا کیونکہ اس کے فوائد کثیر ہیں اور خاص فضل و شرف رکھتا ہے۔
اس درخت کے سائے میں کوئی سوار اگر ستر سال بھی چلا جائے تاہم اس کا سایہ ختم نہیں ہوتا۔
اس درمیان کھانسی کا حملہ کئی بار ہوا اور جب بھی کھانسی آتی اس کا چہرہ لال سرخ ہو جاتا۔
اس دس گز کی چادر کے خول سے باہر آؤ تو تمہیں پتا چلے کہ زندگی کتنی خوبصورت چیز ہے۔
اس دل کو اضطراب جیسے بہار میں ہو عنادل کو اضطراب نیرنگ حسن و عشق کے کیا کیا ظہور ہیں۔
اس دن آفس کینٹن میں اکبر کے ساتھ لنچ لیتے ہوئے اس نے اکبر کو متفکر پایا تو پوچھ بیٹھا۔
اس دن بھی حسب معمول صفیں درست ہو چکیں تو حضرت عمر رضی اللہ تعالی عنہ امامت کے لئے برھے۔
اس دن جو سزا سے بچ گیا اس پر اللہ نے بڑا ہی رحم کیا اور یہی نمایاں کامیابی ہے۔
اس دن جھٹلانے والوں کی کھا لو اور برت لو تھوڑے دنوں بے شک تم گناہ گار ہو خرابی ہے۔
اس دن سے مسلمان کا وطن جغرافی حدود اربعہ میں محدود نہیں رہا بلکہ پورا دارالاسلام اس کا وطن ٹھیرا۔
اس دن عرب کے باہر کے جو لوگ مکہ مکرمہ یا اس کے کسی قریبی علاقوں میں آئے ہوئے تھے۔
اس دن وزیر ٹرانسپورٹ نے لاؤ لشکر کے ساتھ اچانک الین فارسٹ ورک شاپ کا معائنہ کیا، بلکہ چھاپا مارا۔
اس دن کے بعد سے وہ مستقلا اداس رہنے لگی تھی اور عجب پھیکاپن اس پر مسلّط ہو گیا تھا۔
اس دنیا میں بھی اور آخرت (کے اس ابدی جہاں ) میں بھی اور اس نے تیار کر رکھا ہے۔
اس دور میں دارالعلوم کی پرانی عمارت سے متصل زیر تعمیر ہال کا سلیب جنوری ء کو ڈالا گیا۔
اس دور میں مولانا آزاد نے سیکٹروں جلسوں اورکانفرنسوں میں شرکت کر کے حکومت برطانیہ کے خلاف باغیانہ تقریریں کیں۔
اس دور کی شاعری میں غربت کی شکایت اور یاران محفل کی پر درد یاد جا بجا دکھائی دیتی ہے۔
اس دور کی غزل موضوعات، لفظیات، تکنیک اور اسلوب کے حوالے سے اس انقلاب کے لیے زمین ہموار کرتی ہے۔
اس دور کے انسان نے چاند پر پہنچ کر شق القمر کے معجزہ کو زبر دست تائید بھی پہنچائی ہے۔
اس دور کے اور آج کے ادب میں سب سے پہلا فرق یہ ہے کہ آج تجربوں کی کمی ہے۔
اس دور کے دوسرے احباب زبیر رضوی، وحید اختر، حمید الیاس اور مجتبی حسین بھی موضوع گفتگو رہا کرتے تھے۔
اس دوران ایک عزیز نے بتایا کہ سعودی عرب کے لیے بھرتی آئی ہے، اگرتم چا ہوتو تمھاری بات کروں؟
اس دوران برادر عزیز جاوید حیدر جوئیہ صاحب نے میری طرف سے رائے پوچھنے پر پورا مضمون عنایت کر دیا۔
اس دوران میں آپہ نے ملازمت ترک کر دی اور حج کی اجازت لے کر 1869ء میں ہندوستان کو سدھارے۔
اس دوران میں میں نے کئی بار اس جگہ پر جو کتاب کی وجہ سے ابھری ہوئی تھی، نگاہ ڈالی۔
اس دوران میں گدھے نے لگام کی گرفت نہ محسوس کر کے اپنے مالک کے ہوائی قلعے سے فائدہ اٹھایا۔
اس دوران میں، میں تو بھابھی سے باتیں کرتی رہی اور ڈاکٹر صاحب امیت کو بہت سی کتابیں دکھاتے رہے۔
اس دوران کالج میں اپنے رفقاء صاحب زادہ محمود الظفر مرحوم اور ان کی بیگم رشیدہ جہاں سے ملاقات ہوئی۔
اس دوران کروڑوں کی تعداد میں مرد، خواتین اور بچے کسی بھی قسم کے حقوق کے بغیر رہتے رہے ہیں۔
اس دوران یہ وسیع و عریض علاقے کو سیراب کر کے اس کی شادابی اور رعنائی کا باعث بنتا ہے۔
اس دوستی کی وجہ سے امی جی اور مبارکہ کا تعلق سعیدکی امی، بہنوں اور شازیہ بھابھی سے قائم ہوا۔
اس دوسرے مفہوم کے اعتبار سے سائنس کو ابھی تحقیق و اکتشافات کے مزید کئی مرحلوں سے گزرنا پڑے گا۔
اس دین کو غالب کر کے جس کی تم دعوت دیتے ہو، یا فتح و غلبہ عطا کر کے۔
اس دیوار کے نیچے ان بچّوں کے لیے ایک خزانہ مدفون ہے اور ان کا باپ ایک نیک آدمی تھا۔
اس ذات کی جس نے آپ صلی اللہ علیہ و آلہ و سلم کو حق کے ساتھ مبعوث فرمایا ہے۔
اس ذات کی جس نے آپ صلی اللہ علیہ و آلہ و سلم کو سچاّ نبی بنا کر بھیجا ہے۔
اس ذات کی طرف سے جس نے پیدا فرمایا زمین اور بلند آسمانوں (کی اس عظیم الشان کائنات) کو، ۔
اس ذات کی قسم ! جس کے ہاتھ میں میری (صلی اللہ علیہ و آلہ و سلم) کی جان ہے۔
اس ذات کی قسم جس کے قبضہ قدرت میں محمد (صلی اللہ علیہ و آلہ و سلم) کی جان ہے۔
اس ذخیرے سے پتہ چلتا ہے کہ سرحد پار کے تھار میں بھی تہذیبی طور پر کوئی فرق نہیں ہے۔
اس ذلیل کر دینے والے عذاب کا بیان جو کہ اللہ عزوجل نے شرابی کے لیے تیار کر رکھا ہے۔
اس ذہین ترین انسان کی یہ تمام تر صلاحیتیں اس کی کل صلاحیتوں کا محض پانچ سے دس فیصد ہیں۔
اس رات میں چھائی دھوپ کی انیاں اس کے جسم کو بیند رہی ہیں، آگ بن کر جھلسا رہی ہیں۔
اس راز کو معلوم کرنا چاہتی ہیں جو راز نہ جانے کی وجہ سے ندامت کا سامنا کرنا پڑا تھا۔
اس رحمت سے یا نبوّت مراد ہے یا ولایت یا علم یا طول حیات، آپ ولی تو بالیقین ہیں۔
اس رخصت پر قیاس کرتے ہوئے ہم عمامہ، برقع یا دستانوں پر مسح کرنے کا حکم جاری نہ کریں گے۔
اس رسول کی جو نبی امی (ہونے کی شان رکھتے ) ہیں، جن کو یہ لوگ لکھا ہوا پاتے ہیں۔
اس رسید پر یہ بھی لکھ دیا کہ ہم کم از کم چار راتیں اس میں ٹھیرنے والے ہیں۔
اس رقص سے وابستہ صوفیوں کا عقیدہ یہ رہا ہے کہ سماع ہی کائناتی حرکت کے تئیں بیدار کرتا ہے۔
اس رنگ رنگیلے زمانے میں بھی اگر کوئی فراق محبوب میں آہیں بھرے تو اس سے زیادہ اناڑی کوئی نہیں۔
اس روایت میں کہتی ہیں کہ رسول اللہﷺ نے فرمایا : " اس وقت جنت میرے قریب ہو گئی تھی۔
اس روایت کا تعلق صرف دنیا سے ہے، دنیا میں کوئی انسانی آنکھ اللہ کو دیکھنے پر قادر نہیں ہے۔
اس روایت کو ابوداؤد نے حضرت ابوسعید خدری رضی اللہ عنہ کی روایت کے بعد اسی طرح نقل کیا ہے۔
اس روایت کو احمد و ترمذی نے نقل کیا ہے اور ترمذی نے کہا ہے کہ یہ حدیث غریب ہے۔
اس روایت کو امام احمد نے حضرت ابوہریرہ رضی اللہ تعالی عنہ کی صحیح سند کے ساتھ نقل کیا ہے۔
اس روایت کو بیہقی نے شعب الایمان میں نقل کیا ہے اور کہا ہے کہ اس کی اسناد ضعیف ہے۔
اس روایت کو سن کر حضرت ایوب اپنے استاد حضرت نافع سے پوچھتے ہیں کہ سانپ کا کیا حکم ہے؟
اس روایت کو مسلم نے نقل کیا ہے اور جس روایت کو بخاری و مسلم دونوں نے نقل کیا ہے۔
اس روایت کے تحت ایک سوال یہ پیدا ہوتا ہے کہ اس حدیث کو اس باب سے کیا مناسبت ہے۔
اس روایت کے روایوں میں عطا کے استاد کا نام نہیں جو معلم ہو سکے کہ وہ کیسے راوی ہیں۔
